run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.train_loss_epoch,metrics.test_f1_macro,metrics.val_accuracy,metrics.train_loss_step,metrics.test_accuracy,num_params,metrics.epoch,metrics.lr-Adam,metrics.val_loss,metrics.train_accuracy,metrics.train_time_s,params.tokenizer,params.optimizer_params/lr,n_heads_label_attn,params.agg,params.scheduler_params/factor,params.vocab_size,params.n_train,params.optimizer_params/weight_decay,params.n_head,params.optimizer,params.scheduler_interval,train_fraction,emb_dim,params.n_test,params.lr,params.scheduler_params/mode,params.n_val,params.epochs,params.scheduler_params/patience,n_layers,params.dataset,params.batch_size,params.scheduler,params.n_classes,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.git.commit,tags.mlflow.source.type,min_val_loss,architecture
2950ab1c8176402492530965655d394a,8,FINISHED,mlflow-artifacts:/8/2950ab1c8176402492530965655d394a/artifacts,2026-05-28 19:12:56.292000+00:00,2026-05-28 19:18:38.795000+00:00,0.8766170144081116,0.5655,0.5708000063896179,0.9306725859642029,0.569,2561285.0,7.0,0.001,1.022871971130371,0.6327589750289917,331.7,wordpiece,0.001,None,mean,0.5,10000,97500,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.5,256,5000,0.001,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,indecisive-conch-799,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,0.9603135585784912,FastText
8e0314a5365243ee8fad0e3032696038,8,FINISHED,mlflow-artifacts:/8/8e0314a5365243ee8fad0e3032696038/artifacts,2026-05-28 19:08:08.055000+00:00,2026-05-28 19:15:11.574000+00:00,0.7741514444351196,0.5684,0.5799999833106995,0.7861857414245605,0.5766,3347717.0,14.0,0.0001,1.0059325695037842,0.6733846068382263,367.8,wordpiece,0.0001,None,mean,0.5,10000,39000,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.0001,min,5000,40,2,1,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,calm-flea-854,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,0.9749387502670288,Transformer (L=1)
406e1c91c76549769ee31146e870fe49,8,FINISHED,mlflow-artifacts:/8/406e1c91c76549769ee31146e870fe49/artifacts,2026-05-28 19:06:19.240000+00:00,2026-05-28 19:16:52.281000+00:00,0.833156943321228,0.5382,0.5450000166893005,0.8682184219360352,0.5414,4396545.0,23.0,1e-05,1.105458378791809,0.6590256690979004,466.1,wordpiece,1e-05,4,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,1e-05,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,colorful-mule-912,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.088150978088379,Label Attention
7223897011854b55bd8065e393d2e9a1,8,FINISHED,mlflow-artifacts:/8/7223897011854b55bd8065e393d2e9a1/artifacts,2026-05-28 19:05:37.641000+00:00,2026-05-28 19:12:27.813000+00:00,0.4920995533466339,0.5681,0.5573999881744385,0.5396104454994202,0.5764,4396545.0,7.0,0.001,1.3573254346847534,0.8017948865890503,298.8,wordpiece,0.001,4,mean,0.5,10000,39000,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,calm-hawk-931,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,0.9427164793014526,Label Attention
03d43feb2766440f9ce8b0f306c63230,8,FINISHED,mlflow-artifacts:/8/03d43feb2766440f9ce8b0f306c63230/artifacts,2026-05-28 18:58:09.649000+00:00,2026-05-28 19:05:16.861000+00:00,0.4113512337207794,0.5747,0.5591999888420105,0.45395487546920776,0.5822,4134149.0,8.0,0.001,1.4178515672683716,0.8373333215713501,325.3,wordpiece,0.001,None,mean,0.5,10000,39000,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,burly-hound-658,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,0.9487902522087097,Transformer (L=2)
c909d9d3e78d466cb860a74a80019cba,8,FINISHED,mlflow-artifacts:/8/c909d9d3e78d466cb860a74a80019cba/artifacts,2026-05-28 18:56:36.963000+00:00,2026-05-28 19:07:46.756000+00:00,0.8994850516319275,0.5547,0.5633999705314636,0.9258911609649658,0.5578,2561285.0,39.0,0.0001,1.0079036951065063,0.6259743571281433,653.8,wordpiece,0.0001,None,mean,0.5,10000,39000,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.0001,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,rumbling-bat-349,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0079036951065063,FastText
cc58579202a64338a839e3ee065caeea,8,FINISHED,mlflow-artifacts:/8/cc58579202a64338a839e3ee065caeea/artifacts,2026-05-28 18:53:01.048000+00:00,2026-05-28 18:57:48.210000+00:00,0.36380535364151,0.5658,0.5465999841690063,0.40177425742149353,0.5726,3347717.0,8.0,0.001,1.4477732181549072,0.859410285949707,227.8,wordpiece,0.001,None,mean,0.5,10000,39000,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.001,min,5000,40,2,1,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,valuable-skunk-776,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,0.9596805572509766,Transformer (L=1)
3cdc7eb72b45424a967891cff3c5b2ad,8,FINISHED,mlflow-artifacts:/8/3cdc7eb72b45424a967891cff3c5b2ad/artifacts,2026-05-28 18:52:06.770000+00:00,2026-05-28 18:56:15.824000+00:00,0.5882844924926758,0.5453,0.5378000140190125,0.7656662464141846,0.5566,4396545.0,7.0,0.0001,1.2727349996566772,0.7665128111839294,158.5,wordpiece,0.0001,4,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.0001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,ambitious-turtle-794,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0494736433029175,Label Attention
7aae2b9b321e42d2b9b37b293e5c284d,8,FINISHED,mlflow-artifacts:/8/7aae2b9b321e42d2b9b37b293e5c284d/artifacts,2026-05-28 18:50:54.629000+00:00,2026-05-28 19:06:02.980000+00:00,0.9286158084869385,0.5529,0.5569999814033508,0.903773307800293,0.5544,4134149.0,39.0,1e-05,1.046823501586914,0.6096410155296326,751.2,wordpiece,1e-05,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,1e-05,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,intrigued-wren-748,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.046823501586914,Transformer (L=2)
56553959dde546afb1095bb9a9c4bd06,8,FINISHED,mlflow-artifacts:/8/56553959dde546afb1095bb9a9c4bd06/artifacts,2026-05-28 18:49:00.687000+00:00,2026-05-28 18:52:38.836000+00:00,0.7347412109375,0.5596,0.5393999814987183,0.8471413850784302,0.5628,2561285.0,10.0,0.001,1.217678427696228,0.7049999833106995,198.7,wordpiece,0.001,None,mean,0.5,10000,39000,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.2,256,5000,0.001,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,languid-perch-272,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0046727657318115,FastText
c0e7f08890f14fa893a7751548a029f6,8,FINISHED,mlflow-artifacts:/8/c0e7f08890f14fa893a7751548a029f6/artifacts,2026-05-28 18:46:27.054000+00:00,2026-05-28 18:51:48.300000+00:00,0.7481498122215271,0.5576,0.5529999732971191,0.6702202558517456,0.569,4134149.0,11.0,0.0001,1.1117359399795532,0.6872307658195496,228.5,wordpiece,0.0001,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.0001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,nebulous-lamb-270,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0202045440673828,Transformer (L=2)
0bfca3851e354c79a40621d6c57e1cda,8,FINISHED,mlflow-artifacts:/8/0bfca3851e354c79a40621d6c57e1cda/artifacts,2026-05-28 18:44:06.644000+00:00,2026-05-28 18:48:40.112000+00:00,0.42705750465393066,0.5573,0.5278000235557556,0.399162232875824,0.5588,4396545.0,7.0,0.001,1.558282732963562,0.8316410183906555,164.0,wordpiece,0.001,4,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,bemused-gnu-458,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.013883352279663,Label Attention
e7bd38608476491ab5e677312403193d,8,FINISHED,mlflow-artifacts:/8/e7bd38608476491ab5e677312403193d/artifacts,2026-05-28 18:41:31.344000+00:00,2026-05-28 18:46:09.740000+00:00,0.7463771104812622,0.5456,0.5491999983787537,0.7637667059898376,0.5534,3347717.0,15.0,0.0001,1.0889328718185425,0.6861538290977478,224.4,wordpiece,0.0001,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.0001,min,5000,40,2,1,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,languid-goat-874,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0415490865707397,Transformer (L=1)
7e0dabfa4a6b4a5d8c8a31e42ec53772,8,FINISHED,mlflow-artifacts:/8/7e0dabfa4a6b4a5d8c8a31e42ec53772/artifacts,2026-05-28 18:40:14.453000+00:00,2026-05-28 18:50:38.476000+00:00,0.9844194650650024,0.5345,0.546999990940094,0.9783259034156799,0.544,3347717.0,39.0,1e-05,1.0573159456253052,0.5857436060905457,536.9,wordpiece,1e-05,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,1e-05,min,5000,40,2,1,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,flawless-fox-75,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0573159456253052,Transformer (L=1)
eba4e46b3d994be7b843ad890ebdc617,8,FINISHED,mlflow-artifacts:/8/eba4e46b3d994be7b843ad890ebdc617/artifacts,2026-05-28 18:39:56.857000+00:00,2026-05-28 18:43:45.085000+00:00,0.5210438966751099,0.556,0.5317999720573425,0.6515848636627197,0.563,4134149.0,6.0,0.001,1.354201078414917,0.7880513072013855,128.4,wordpiece,0.001,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.001,min,5000,40,2,2,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,rogue-elk-55,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0007855892181396,Transformer (L=2)
174fa9190dcc4db198f1533aaf19201a,8,FINISHED,mlflow-artifacts:/8/174fa9190dcc4db198f1533aaf19201a/artifacts,2026-05-28 18:36:55.561000+00:00,2026-05-28 18:39:37.642000+00:00,0.5539649128913879,0.5498,0.5333999991416931,0.6284089684486389,0.5518,3347717.0,6.0,0.001,1.2837703227996826,0.7769230604171753,101.9,wordpiece,0.001,None,mean,0.5,10000,19500,0.0001,4,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.001,min,5000,40,2,1,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,youthful-frog-294,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0205622911453247,Transformer (L=1)
ad107dc59cc84aa8b3f9c5e845b82e9e,8,FINISHED,mlflow-artifacts:/8/ad107dc59cc84aa8b3f9c5e845b82e9e/artifacts,2026-05-28 18:34:28.049000+00:00,2026-05-28 18:41:14.489000+00:00,0.987932562828064,0.5268,0.5351999998092651,0.9811234474182129,0.534,2561285.0,39.0,0.0001,1.0763676166534424,0.5870769023895264,394.2,wordpiece,0.0001,None,mean,0.5,10000,19500,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.0001,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,clean-toad-271,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0763676166534424,FastText
8d0db84885084183a3d7f2b6814ace6f,8,FINISHED,mlflow-artifacts:/8/8d0db84885084183a3d7f2b6814ace6f/artifacts,2026-05-28 18:34:22.725000+00:00,2026-05-28 18:36:33.654000+00:00,0.7446027994155884,0.5471,0.5410000085830688,0.865257740020752,0.5514,2561285.0,10.0,0.001,1.1186017990112305,0.7076410055160522,115.1,wordpiece,0.001,None,mean,0.5,10000,19500,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,0.001,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,youthful-gnu-611,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.0559396743774414,FastText
65820c35d6314539853ba90dd667730e,8,FINISHED,mlflow-artifacts:/8/65820c35d6314539853ba90dd667730e/artifacts,2026-05-28 18:34:19.529000+00:00,2026-05-28 18:39:57.992000+00:00,1.3431203365325928,0.445,0.4519999921321869,1.4090522527694702,0.4534,2561285.0,39.0,1e-05,1.3516998291015625,0.46774357557296753,322.2,wordpiece,1e-05,None,mean,0.5,10000,19500,0.0001,None,<class 'torch.optim.adam.Adam'>,epoch,0.1,256,5000,1e-05,min,5000,40,2,0,amazon,128,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,5,projet-text-classif,/home/onyxia/work/insee_internship/benchmark/run.py,treasured-toad-548,767b743f40b0ae011a94d70e27a79c3f06f8c76b,LOCAL,1.3516998291015625,FastText
