run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.epoch,metrics.val_accuracy,min_val_loss,metrics.train_loss_epoch,train_time_s,metrics.train_loss_step,metrics.lr-Adam,test_f1_macro,num_params,metrics.train_accuracy,test_accuracy,params.n_val,params.agg,params.tokenizer,params.optimizer_params/lr,params.n_classes,params.batch_size,params.train_fraction,vocab_size,params.n_train,params.scheduler_params/factor,params.n_test,emb_dim,lr,n_heads_label_attn,params.scheduler_params/patience,params.epochs,params.optimizer_params/weight_decay,params.scheduler,n_head,params.optimizer,params.scheduler_interval,params.scheduler_params/mode,params.dataset,n_layers,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.runName,architecture
b9bd297084a0439c893831257a50ecad,13,FINISHED,mlflow-artifacts:/13/b9bd297084a0439c893831257a50ecad/artifacts,2026-07-23 08:37:04.868000+00:00,2026-07-24 06:15:04.584000+00:00,22.0,0.8620200157165527,0.45590031147003174,0.38591569662094116,77631.4,0.30989378690719604,0.0005,0.5776,11636737,0.8772351741790771,0.8641,50000,mean,wordpiece,0.0005,679,128,1.0,20000,1208579,0.5,50000,512,0.0005,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,magnificent-fish-627,FastText + Label Attention
1f3e0c030c9f4c7e859b5870c0b9c3b3,13,FINISHED,mlflow-artifacts:/13/1f3e0c030c9f4c7e859b5870c0b9c3b3/artifacts,2026-07-20 17:24:12.997000+00:00,2026-07-21 03:04:16.272000+00:00,26.0,0.8637800216674805,0.4562389552593231,0.3893173635005951,34613.2,0.46560877561569214,0.0005,0.5818,948225,0.8754090666770935,0.8662,50000,mean,wordpiece,0.0005,679,128,1.0,2000,1208579,0.5,50000,256,0.0005,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,caring-eel-196,FastText + Label Attention
b127ecdaf7814bf485835e3cd499eb18,13,FINISHED,mlflow-artifacts:/13/b127ecdaf7814bf485835e3cd499eb18/artifacts,2026-07-20 11:36:42.782000+00:00,2026-07-21 15:21:32.075000+00:00,29.0,0.8600800037384033,0.4563574492931366,0.39291518926620483,99654.4,0.4074224829673767,0.0005,0.584,2420737,0.8742448687553406,0.8647,50000,mean,wordpiece,0.0005,679,128,1.0,2000,1208579,0.5,50000,512,0.0005,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,powerful-mouse-45,FastText + Label Attention
621c531b0ac548b3b326963ef82904ed,13,FINISHED,mlflow-artifacts:/13/621c531b0ac548b3b326963ef82904ed/artifacts,2026-07-22 23:57:32.922000+00:00,2026-07-23 12:08:46.729000+00:00,32.0,0.8612800240516663,0.4570520222187042,0.42554953694343567,43706.1,0.5351307392120361,0.001,0.5558,2996225,0.8678299188613892,0.8646,50000,mean,wordpiece,0.001,679,128,1.0,10000,1208579,0.5,50000,256,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,luxuriant-snail-350,FastText + Label Attention
b72697860e124dedaab8cba3c8b01027,13,FINISHED,mlflow-artifacts:/13/b72697860e124dedaab8cba3c8b01027/artifacts,2026-07-19 18:10:09.064000+00:00,2026-07-19 21:08:08.073000+00:00,26.0,0.8625400066375732,0.45746147632598877,0.3858164846897125,10499.1,0.32199496030807495,0.0001,0.5783,686503,0.8803090453147888,0.8672,50000,mean,wordpiece,0.0001,679,128,1.0,2000,1208579,0.5,50000,256,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,silent-owl-471,FastText
fa55d18682974fbdb461a2a079329aea,13,FINISHED,mlflow-artifacts:/13/fa55d18682974fbdb461a2a079329aea/artifacts,2026-07-20 20:15:50.830000+00:00,2026-07-20 23:15:42.592000+00:00,25.0,0.864139974117279,0.4578484892845154,0.3294907808303833,10610.4,0.2877039909362793,0.0001,0.5995,5294503,0.8951777219772339,0.8678,50000,mean,wordpiece,0.0001,679,128,1.0,20000,1208579,0.5,50000,256,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,powerful-cub-120,FastText
6e5427cfa14643dc9210bc5d5ea0e910,13,FINISHED,mlflow-artifacts:/13/6e5427cfa14643dc9210bc5d5ea0e910/artifacts,2026-07-21 11:54:04.624000+00:00,2026-07-21 14:34:04.449000+00:00,26.0,0.8641600012779236,0.4581541419029236,0.3655371367931366,9400.4,0.3816872835159302,0.0005,0.5902,699905,0.8819506168365479,0.8676,50000,mean,wordpiece,0.0005,679,128,1.0,10000,1208579,0.5,50000,64,0.0005,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,powerful-kit-688,FastText + Label Attention
09b4df3d5d294aa9a77beecded5701a5,13,FINISHED,mlflow-artifacts:/13/09b4df3d5d294aa9a77beecded5701a5/artifacts,2026-07-19 18:10:06.733000+00:00,2026-07-19 22:25:13.524000+00:00,22.0,0.8617799878120422,0.4594455361366272,0.3775702714920044,15119.7,0.37908411026000977,0.0001,0.6028,1372327,0.8811521530151367,0.8656,50000,mean,wordpiece,0.0001,679,128,1.0,2000,1208579,0.5,50000,512,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,big-penguin-121,FastText
e962915eff1b4869b5586d465e742feb,13,FINISHED,mlflow-artifacts:/13/e962915eff1b4869b5586d465e742feb/artifacts,2026-07-21 20:20:17.681000+00:00,2026-07-21 23:22:35.643000+00:00,28.0,0.864080011844635,0.45979374647140503,0.3683403432369232,10734.7,0.46622031927108765,0.0005,0.585,1339905,0.8822253346443176,0.8678,50000,mean,wordpiece,0.0005,679,128,1.0,20000,1208579,0.5,50000,64,0.0005,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,big-horse-861,FastText + Label Attention
479a8fd68eab4fefb64607251fcfb2c6,13,FINISHED,mlflow-artifacts:/13/479a8fd68eab4fefb64607251fcfb2c6/artifacts,2026-07-21 11:23:12.464000+00:00,2026-07-21 18:41:26.513000+00:00,34.0,0.8611400127410889,0.4604644775390625,0.4205944240093231,26112.8,0.3453279137611389,0.001,0.5627,792577,0.8690255284309387,0.8652,50000,mean,wordpiece,0.001,679,128,1.0,5000,1208579,0.5,50000,128,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,chill-snake-507,FastText + Label Attention
