run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.val_accuracy,metrics.lr-Adam,metrics.train_loss_step,test_accuracy,min_val_loss,num_params,test_f1_macro,train_time_s,metrics.epoch,metrics.train_accuracy,metrics.train_loss_epoch,params.n_val,params.scheduler_params/mode,params.scheduler_params/patience,params.optimizer_params/weight_decay,params.optimizer_params/lr,params.agg,params.scheduler_interval,params.scheduler_params/factor,params.batch_size,params.n_train,vocab_size,n_layers,params.optimizer,params.n_test,params.scheduler,params.epochs,lr,params.train_fraction,emb_dim,params.dataset,n_head,n_heads_label_attn,params.tokenizer,params.n_classes,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.git.commit,architecture
e3876eee6b164cbd83cffa2e81ba8faa,14,FINISHED,mlflow-artifacts:/14/e3876eee6b164cbd83cffa2e81ba8faa/artifacts,2026-06-26 00:26:55.577000+00:00,2026-06-26 00:30:40.497000+00:00,0.7793333530426025,0.0001,0.06042984127998352,0.7784,1.243725299835205,662401,0.7778,209.0,36.0,0.9687333106994629,0.15542325377464294,3000,min,2,0.0001,0.0001,mean,epoch,0.5,128,15000,8407,2,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.0001,1.0,64,clinc150_noos,4,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,upset-dog-119,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=2) + Label Attention
e9fe2e1da9d04a4e9e3c403bdfa74d28,14,FINISHED,mlflow-artifacts:/14/e9fe2e1da9d04a4e9e3c403bdfa74d28/artifacts,2026-06-25 23:41:15.892000+00:00,2026-06-25 23:46:47.429000+00:00,0.8026666641235352,0.0001,0.04453514888882637,0.8209,1.2449477910995483,1118081,0.8199,316.9,28.0,0.9918666481971741,0.03879536688327789,3000,min,2,0.0001,0.0001,mean,epoch,0.5,128,15000,5000,2,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.0001,1.0,128,clinc150_noos,4,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,nimble-steed-462,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=2) + Label Attention
934a71e5c5dc4eca9602bbeba4827d13,14,FINISHED,mlflow-artifacts:/14/934a71e5c5dc4eca9602bbeba4827d13/artifacts,2026-06-25 22:04:49.200000+00:00,2026-06-25 22:08:48.359000+00:00,0.778333306312561,0.0001,0.10326825082302094,0.7853,1.2493116855621338,252353,0.7838,223.9,35.0,0.9721999764442444,0.14197684824466705,3000,min,2,0.0001,0.0001,mean,epoch,0.5,128,15000,2000,2,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.0001,1.0,64,clinc150_noos,8,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,bustling-worm-644,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=2) + Label Attention
8e63cabc7ed94c34a049920949e09d4a,14,FINISHED,mlflow-artifacts:/14/8e63cabc7ed94c34a049920949e09d4a/artifacts,2026-06-26 10:06:33.228000+00:00,2026-06-26 10:51:06.439000+00:00,0.8733333349227905,0.0005,3.726712384377606e-05,0.8707,1.2535858154296875,8575489,0.8692,2649.5,33.0,0.9999333620071411,0.00041761103784665465,3000,min,2,0.0001,0.001,mean,epoch,0.5,128,15000,8406,1,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.001,1.0,512,clinc150_noos,2,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,beautiful-lamb-52,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=1) + Label Attention
5861c96c53be482c98f59ada8f6379b9,14,FINISHED,mlflow-artifacts:/14/5861c96c53be482c98f59ada8f6379b9/artifacts,2026-06-25 19:39:16.463000+00:00,2026-06-25 19:41:06.478000+00:00,0.8106666803359985,0.001,0.059052564203739166,0.7898,1.2548620700836182,613249,0.7886,95.8,18.0,0.9834666848182678,0.05714616924524307,3000,min,2,0.0001,0.001,mean,epoch,0.5,128,15000,8407,1,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.001,1.0,64,clinc150_noos,2,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,victorious-perch-302,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=1) + Label Attention
09ed11c2e259447a854fc42460e261b9,14,FINISHED,mlflow-artifacts:/14/09ed11c2e259447a854fc42460e261b9/artifacts,2026-06-25 20:14:39.439000+00:00,2026-06-25 20:16:40.529000+00:00,0.8130000233650208,0.001,0.012809529900550842,0.786,1.267015814781189,613185,0.7847,106.3,20.0,0.9898666739463806,0.034510668367147446,3000,min,2,0.0001,0.001,mean,epoch,0.5,128,15000,8406,1,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.001,1.0,64,clinc150_noos,4,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,enchanting-lark-551,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=1) + Label Attention
18ba390c139149a484ff189a862b202c,14,FINISHED,mlflow-artifacts:/14/18ba390c139149a484ff189a862b202c/artifacts,2026-06-25 16:25:33.847000+00:00,2026-06-25 16:28:49.792000+00:00,0.8429999947547913,0.0005,0.0019113129237666726,0.8244,1.2708004713058472,2452993,0.8229,178.3,17.0,0.9991333484649658,0.0034557355102151632,3000,min,2,0.0001,0.001,mean,epoch,0.5,128,15000,8407,0,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.001,1.0,256,clinc150_noos,None,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,handsome-hare-521,19877c9ab239d627552d1a74dcd3f4401845285f,FastText + Label Attention
43d94eda60de4d9bbc6e4aa1933212dc,14,FINISHED,mlflow-artifacts:/14/43d94eda60de4d9bbc6e4aa1933212dc/artifacts,2026-06-26 00:05:38.894000+00:00,2026-06-26 00:07:42.224000+00:00,0.8159999847412109,0.001,0.11989150196313858,0.8053,1.2755253314971924,662337,0.8042,107.5,18.0,0.9904666543006897,0.033273451030254364,3000,min,2,0.0001,0.001,mean,epoch,0.5,128,15000,8406,2,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.001,1.0,64,clinc150_noos,2,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,defiant-panda-882,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=2) + Label Attention
c4787520c2a549f1b76bf4edd226753d,14,FINISHED,mlflow-artifacts:/14/c4787520c2a549f1b76bf4edd226753d/artifacts,2026-06-25 20:56:48.072000+00:00,2026-06-25 21:01:20.657000+00:00,0.7799999713897705,0.0001,0.05443824082612991,0.7762,1.2780195474624634,1357697,0.7735,257.6,27.0,0.9901999831199646,0.05389063060283661,3000,min,2,0.0001,0.0001,mean,epoch,0.5,128,15000,8408,1,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.0001,1.0,128,clinc150_noos,8,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,nimble-wren-977,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=1) + Label Attention
3d53830192f948e5917b5fc6bdfe399f,14,FINISHED,mlflow-artifacts:/14/3d53830192f948e5917b5fc6bdfe399f/artifacts,2026-06-25 21:09:36.296000+00:00,2026-06-25 21:13:25.384000+00:00,0.7889999747276306,0.0001,0.05590807646512985,0.7884,1.2808170318603516,252353,0.7867,214.0,38.0,0.9802666902542114,0.100519098341465,3000,min,2,0.0001,0.0001,mean,epoch,0.5,128,15000,2000,2,<class 'torch.optim.adam.Adam'>,4500,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,500,0.0001,1.0,64,clinc150_noos,2,4,wordpiece,150,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,LOCAL,painted-worm-668,19877c9ab239d627552d1a74dcd3f4401845285f,FATE (L=2) + Label Attention
