run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.train_accuracy_level_0,metrics.train_loss_step,metrics.val_accuracy_level_1,metrics.train_accuracy_level_3,min_val_loss,metrics.test_accuracy_sub,metrics.test_f1_macro_div,metrics.val_accuracy_level_2,metrics.test_accuracy_cls,metrics.lr-Adam,metrics.test_accuracy_div,metrics.train_accuracy_level_4,metrics.val_accuracy_level_4,metrics.train_accuracy_level_2,metrics.test_f1_macro_sec,train_time_s,metrics.test_f1_macro_cls,metrics.val_accuracy_level_3,metrics.test_f1_macro_grp,metrics.epoch,metrics.train_loss_epoch,num_params,metrics.test_accuracy_grp,metrics.train_accuracy_level_1,metrics.test_f1_macro_sub,metrics.test_accuracy_sec,metrics.val_accuracy_level_0,params.n_train,emb_dim,params.batch_size,params.patience_early_stopping,params.train_fraction,params.optimizer_params/lr,params.num_epochs,lr,params.scheduler,params.scheduler_interval,params.n_layers,params.n_val,vocab_size,n_heads_label_attn,params.optimizer,params.n_test,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.mlflow.user,architecture
62c42b07c67a46718e25217a919f03cc,16,FINISHED,mlflow-artifacts:/16/62c42b07c67a46718e25217a919f03cc/artifacts,2026-07-18 03:36:29.521000+00:00,2026-07-18 04:53:33.725000+00:00,0.9297146797180176,0.2993580400943756,0.9069600105285645,0.9104682803153992,0.44007807970046997,0.8651,0.7759,0.8849200010299683,0.8776,0.0005,0.9093,0.9007106423377991,0.8618800044059753,0.9138909578323364,0.8637,4613.0,0.624,0.8736400008201599,0.6632,15.0,0.2984235882759094,2982251,0.8871,0.9251903295516968,0.5971,0.9224,0.9192399978637695,654461,256,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,10000,None,<class 'torch.optim.adam.Adam'>,25000,painted-dog-255,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
93ee8176e0004a1a9dd573b40539faee,16,FINISHED,mlflow-artifacts:/16/93ee8176e0004a1a9dd573b40539faee/artifacts,2026-07-18 01:02:50.681000+00:00,2026-07-18 02:37:55.770000+00:00,0.9262446761131287,0.3198728859424591,0.9063199758529663,0.9090763330459595,0.44358086585998535,0.8645,0.7913,0.8837599754333496,0.8758,0.0005,0.9078,0.8993446230888367,0.861240029335022,0.911345362663269,0.8693,5694.1,0.6358,0.8733599781990051,0.6854,19.0,0.3026927709579468,1702251,0.8864,0.9221909046173096,0.603,0.9212,0.9180399775505066,654461,256,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,5000,None,<class 'torch.optim.adam.Adam'>,25000,sedate-ox-713,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
4791efabbe684fc990e1d71e13e0707e,16,FINISHED,mlflow-artifacts:/16/4791efabbe684fc990e1d71e13e0707e/artifacts,2026-07-18 05:04:07.006000+00:00,2026-07-18 06:50:50.811000+00:00,0.9335820078849792,0.30604231357574463,0.9072800278663635,0.9140147566795349,0.44377046823501587,0.8645,0.7931,0.884880006313324,0.8768,0.0005,0.9107,0.9047460556030273,0.8616399765014648,0.9169102311134338,0.8664,6387.0,0.6302,0.8738399744033813,0.6787,12.0,0.2844103276729584,5962859,0.8868,0.9278979301452637,0.6078,0.9258,0.9225999712944031,654461,512,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,10000,None,<class 'torch.optim.adam.Adam'>,25000,capricious-doe-380,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
ebe31e868d9145b6aa05b865521b8795,16,FINISHED,mlflow-artifacts:/16/ebe31e868d9145b6aa05b865521b8795/artifacts,2026-07-18 01:40:47.874000+00:00,2026-07-18 03:42:37.138000+00:00,0.9294946789741516,0.1943352222442627,0.9058399796485901,0.9108701944351196,0.44458335638046265,0.8664,0.8139,0.8858399987220764,0.8761,0.0005,0.9099,0.9015769958496094,0.8628399968147278,0.9130704402923584,0.8684,7292.9,0.643,0.8743199706077576,0.6983,14.0,0.2949940860271454,3402859,0.8873,0.9238564372062683,0.6246,0.9236,0.9231200218200684,654461,512,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,5000,None,<class 'torch.optim.adam.Adam'>,25000,angry-kite-750,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
c23ef594698146e982647648162f5bb4,16,FINISHED,mlflow-artifacts:/16/c23ef594698146e982647648162f5bb4/artifacts,2026-07-18 05:52:32.227000+00:00,2026-07-18 07:15:18.763000+00:00,0.9333695769309998,0.2218102514743805,0.9059600234031677,0.9159827828407288,0.44562897086143494,0.8659,0.7913,0.8857600092887878,0.8768,0.0005,0.9083,0.9066132307052612,0.8620799779891968,0.9189073443412781,0.8616,4953.9,0.6192,0.8736799955368042,0.6663,16.0,0.2799057960510254,5542251,0.8875,0.9293234944343567,0.5935,0.923,0.9204400181770325,654461,256,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,20000,None,<class 'torch.optim.adam.Adam'>,25000,suave-calf-882,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
6e31528e32994c37977028e3bc843dab,16,FINISHED,mlflow-artifacts:/16/6e31528e32994c37977028e3bc843dab/artifacts,2026-07-18 01:03:57.577000+00:00,2026-07-18 02:37:50.590000+00:00,0.9225622415542603,0.5111324191093445,0.9025999903678894,0.9065108299255371,0.44582343101501465,0.864,0.7842,0.8831200003623962,0.8754,0.0005,0.9069,0.8964613676071167,0.8619199991226196,0.9094629287719727,0.8485,5625.1,0.6186,0.8729599714279175,0.6656,27.0,0.3131985664367676,851947,0.8845,0.9199432730674744,0.59,0.9176,0.9150800108909607,654461,128,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,5000,None,<class 'torch.optim.adam.Adam'>,25000,overjoyed-sow-541,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
7d82f9c4677b437eb3895f55d2248175,16,FINISHED,mlflow-artifacts:/16/7d82f9c4677b437eb3895f55d2248175/artifacts,2026-07-18 08:14:15.606000+00:00,2026-07-18 10:06:46.581000+00:00,0.9368243217468262,0.2878325283527374,0.9071599841117859,0.9192251563072205,0.44824671745300293,0.8647,0.8026,0.8840000033378601,0.876,0.0005,0.9102,0.9103032946586609,0.8614799976348877,0.9216286540031433,0.866,6732.2,0.6256,0.8726000189781189,0.6893,13.0,0.2667665481567383,11082859,0.8873,0.9317896962165833,0.5954,0.9261,0.9231600165367126,654461,512,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,20000,None,<class 'torch.optim.adam.Adam'>,25000,powerful-sow-636,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
d922f3deeea0481fa50c189ea9e924ca,16,FINISHED,mlflow-artifacts:/16/d922f3deeea0481fa50c189ea9e924ca/artifacts,2026-07-18 02:38:14.335000+00:00,2026-07-18 03:36:58.550000+00:00,0.9221726059913635,0.19719886779785156,0.902999997138977,0.9074521064758301,0.45025843381881714,0.8638,0.7944,0.8824399709701538,0.8762,0.001,0.906,0.8972330093383789,0.8614400029182434,0.9101122617721558,0.8451,3516.4,0.6298,0.8723199963569641,0.6718,16.0,0.3090362250804901,851947,0.8848,0.9200823307037354,0.6077,0.9156,0.9134799838066101,654461,128,128,5,0.52,0.001,300,0.001,None,epoch,0,25000,5000,None,<class 'torch.optim.adam.Adam'>,25000,resilient-moose-966,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
a0a3356f96654b90b8435179644feee4,16,FINISHED,mlflow-artifacts:/16/a0a3356f96654b90b8435179644feee4/artifacts,2026-07-18 02:38:22.626000+00:00,2026-07-18 03:36:02.990000+00:00,0.9264708161354065,0.2288527637720108,0.9041200280189514,0.908478856086731,0.4511379599571228,0.8636,0.8023,0.8823599815368652,0.8749,0.001,0.9076,0.8988190293312073,0.8601599931716919,0.9109755754470825,0.8551,3449.5,0.631,0.8703600168228149,0.6806,11.0,0.3024953603744507,1702251,0.8844,0.9217585325241089,0.5992,0.9204,0.9175599813461304,654461,256,128,5,0.52,0.001,300,0.001,None,epoch,0,25000,5000,None,<class 'torch.optim.adam.Adam'>,25000,stylish-moose-424,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
79ab6cd6f2bb446dbff7d5a0db45c059,16,FINISHED,mlflow-artifacts:/16/79ab6cd6f2bb446dbff7d5a0db45c059/artifacts,2026-07-18 03:37:21.368000+00:00,2026-07-18 05:00:18.573000+00:00,0.9263409376144409,0.33677050471305847,0.9042400121688843,0.9107769727706909,0.4512120187282562,0.8628,0.7811,0.8835999965667725,0.8747,0.0005,0.9082,0.9006510972976685,0.8587200045585632,0.9140804409980774,0.8433,4969.2,0.6231,0.8715199828147888,0.6648,23.0,0.29878196120262146,1491947,0.8855,0.9243484139442444,0.5933,0.9182,0.9171199798583984,654461,128,128,5,0.52,0.0005,300,0.0005,None,epoch,0,25000,10000,None,<class 'torch.optim.adam.Adam'>,25000,adaptable-grouse-499,/home/onyxia/work/insee_internship/src/multilevel/train.py,LOCAL,040271ecffc910e0d4ce6d367a6c5860ba5c4701,projet-text-classif,FastText
